First name,Last name,Uni ID,Institution,Department,Email address,Groups,Assignment: Assignment 1 (SQL): Marks and Feedback (Real),Assignment: Assignment 2 (Database Theory): Marks and Feedback (Real),Quiz: NoSQL Test (Real),Total marks for quizzes (Real),Lab activities (Lab 1-8) (Real),Final Exam (Real),"Quiz: Quiz for Week 2 (deadline: 11:59pm, Aug 1, Tuesday) (Real)","Quiz: Quiz for Week 3 (deadline 23:59, August 8, Tuesday) (Real)","Quiz: Quiz for Week 4 (deadline: 11:59pm, August 15, Tuesday) (Real)","Quiz: Quiz for Week 5 (deadline: 11:59pm, 22 August, Tuesday) (Real)","Quiz: Quiz for Week 6 (deadline: 11:59pm, 29 August, Tuesday) (Real)","Quiz: Quiz for Week 7 (deadline: 11:59pm, 19 September, Tuesday) (Real)","Quiz: Quiz for Week 8 (deadline 11:59pm, 26 September, Tuesday) (Real)","Quiz: Quiz for Week 9 (deadline: 23:59, 3 October, Tuesday) (Real)","Quiz: Quiz for Week 10 (deadline: 11:59pm, October 10, Tuesday) (Real)","Quiz: Quiz for Week 11 (deadline: 11:59pm, 17 October, Tuesday) (Real)",Attendance: Lab Engagement (Real),Attendance: Lab 8 Engagement (Real),Quiz: DA/PX Exam (Real),Course total (Real),Last downloaded from this course
XBSZBU,HKRZZZ,u2400001,,,u2400001@anu.edu.au,[MyTT] ComA/19 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.3,0.5,-,-,-,-,-,-,-,-,114.3,-,-,-,1710372712
QQQOSD,UEAEBX,u2400002,,,u2400002@anu.edu.au,[MyTT] ComA/18 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,116.5,-,-,-,1710372712
UITIEJ,URIXPN,u2400003,,,u2400003@anu.edu.au,[MyTT] ComA/03 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 2 (02) Mon Oct 16 12:00 - 14:00 (HN 1.24),-,-,-,-,-,-,0.5,0.5,0.4,-,-,-,-,-,-,-,114.3,-,-,-,1710372712
KFDWRC,BGIRAO,u2400004,,,u2400004@anu.edu.au,[MyTT] LecB/01 (Classes 7460/7511);[MyTT] ComA/23 (Classes 7460/7511),-,-,-,-,-,-,0.4,0.5,0.3,-,-,-,-,-,-,-,114.1,-,-,-,1710372712
DXNLUM,UZREIK,u2400005,,,u2400005@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Supplementary and Deferred Exam,-,-,-,-,-,-,0.5,0.6,0.5,-,-,-,-,-,-,-,104.1,-,-,-,1710372713
QCATGW,MGINXQ,u2400006,,,u2400006@anu.edu.au,[MyTT] ComA/01 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.5,-,-,-,-,-,-,-,104.5,-,-,-,1710372713
UBUJZH,IXRSBB,u2400007,,,u2400007@anu.edu.au,[MyTT] ComA/02 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.2,0.5,0.5,-,-,-,-,-,-,-,102,-,-,-,1710372713
UDNAGT,CPADPC,u2400008,,,u2400008@anu.edu.au,[MyTT] ComA/10 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511);Lab 8 Option 1 (01) Wed Oct 11 16:00 - 18:00 (CSIT N115/N116);Supplementary and Deferred Exam;Remote,-,-,-,-,-,-,0.6,0.6,0.5,-,-,-,-,-,-,-,116.3,-,-,-,1710372713
ZKQAIO,OFQFJG,u2400009,,,u2400009@anu.edu.au,[MyTT] ComA/14 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,0.6,0.5,0.6,-,-,-,-,-,-,-,107.1,-,-,-,1710372713
SHAQBQ,RIUKUB,u2400010,,,u2400010@anu.edu.au,[MyTT] ComA/12 (Classes 7460/7511);[MyTT] LecB/01 (Classes 7460/7511),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710372713
